model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
LLaMA-3-70B,dense,506944,256,1013.89,22.6301,801.673,79.0692,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,1200,4800
DeepSeek-V3-MoE,moe,506944,256,1013.89,12.6759,540.773,53.3366,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,1200,4800
LLaMA-3-70B,dense,506944,256,1013.89,22.3775,810.722,79.9617,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,1200,9600
DeepSeek-V3-MoE,moe,506944,256,1013.89,12.1374,564.764,55.7028,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,1200,9600
LLaMA-3-70B,dense,506944,256,1013.89,22.1386,819.472,80.8247,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,2400,2400
DeepSeek-V3-MoE,moe,506944,256,1013.89,11.757,583.037,57.5051,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,2400,2400
LLaMA-3-70B,dense,506944,256,1013.89,21.6334,838.608,82.7121,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,2400,4800
DeepSeek-V3-MoE,moe,506944,256,1013.89,10.6801,641.827,63.3035,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,2400,4800
LLaMA-3-70B,dense,506944,256,1013.89,21.3808,848.515,83.6892,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,2400,9600
DeepSeek-V3-MoE,moe,506944,256,1013.89,10.1416,675.904,66.6645,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,2400,9600
LLaMA-3-70B,dense,506944,256,1013.89,21.6402,838.343,82.686,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,4800,2400
DeepSeek-V3-MoE,moe,506944,256,1013.89,10.7591,637.113,62.8386,0.821587,Yes,846534,Centralized Global Bus Routing Contention,712x712,256,4800,2400
LLaMA-3-70B,dense,506944,256,1013.89,21.1351,858.381,84.6623,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,4800,4800
DeepSeek-V3-MoE,moe,506944,256,1013.89,9.6822,707.976,69.8279,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,4800,4800
