model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,262144,64.0,524.288,171.5176106666667,167.25333333333336,1.9626666666666666,2.1538133333333334,0.344064,368.1022549567854,70.20993327270229,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,2400.0,2400.0
LLaMA-3-70B,dense,262144,64.0,524.288,37.66135466666666,36.044799999999995,0.7918933333333333,0.5051733333333334,0.39867733333333333,481.7124083526682,91.87935034802784,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,2400.0,4800.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,170.44070400000004,167.25333333333336,1.9626666666666666,1.0769066666666667,0.344064,370.42805955084526,70.6535452939692,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,2400.0,4800.0
LLaMA-3-70B,dense,262144,64.0,524.288,37.408767999999995,36.044799999999995,0.7918933333333333,0.2525866666666667,0.39867733333333333,484.96496485273184,92.49972626738202,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,2400.0,9600.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,169.9022506666667,167.25333333333336,1.9626666666666666,0.5384533333333333,0.344064,371.6020182396955,70.87746014398488,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,2400.0,9600.0
LLaMA-3-70B,dense,262144,64.0,524.288,37.61083733333333,36.044799999999995,0.39594666666666667,1.0103466666666667,0.19933866666666666,482.359424692344,92.00275892111665,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,4800.0,2400.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,170.4623786666667,167.25333333333336,0.9813333333333333,2.1538133333333334,0.172032,370.38095880769276,70.64456154016356,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,4800.0,2400.0
LLaMA-3-70B,dense,262144,64.0,524.288,37.105664,36.044799999999995,0.39594666666666667,0.5051733333333334,0.19933866666666666,488.9264846009493,93.25532619494426,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,4800.0,4800.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,169.38547200000002,167.25333333333336,0.9813333333333333,1.0769066666666667,0.172032,372.7357400001813,71.09370040897012,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,4800.0,4800.0
LLaMA-3-70B,dense,262144,64.0,524.288,36.85307733333333,36.044799999999995,0.39594666666666667,0.2525866666666667,0.19933866666666666,492.2775293420272,93.8944872554831,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,4800.0,9600.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,168.84701866666668,167.25333333333336,0.9813333333333333,0.5384533333333333,0.172032,373.9243946962514,71.32041829991367,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,4800.0,9600.0
LLaMA-3-70B,dense,262144,128.0,524.288,39.20145066666666,36.044799999999995,1.5837866666666667,1.0103466666666667,0.720896,462.7875129562553,88.26971301198107,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,1200.0,2400.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,173.55161600000005,167.25333333333336,3.925333333333333,2.1538133333333334,0.6116693333333333,363.78813811333214,69.3870807863869,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,1200.0,2400.0
LLaMA-3-70B,dense,262144,128.0,524.288,38.69627733333333,36.044799999999995,1.5837866666666667,0.5051733333333334,0.720896,468.8291253969374,89.42205913485286,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,1200.0,4800.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,172.47470933333338,167.25333333333336,3.925333333333333,1.0769066666666667,0.6116693333333333,366.05957763453955,69.82032349291603,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,1200.0,4800.0
LLaMA-3-70B,dense,262144,128.0,524.288,38.44369066666666,36.044799999999995,1.5837866666666667,0.2525866666666667,0.720896,471.90947444685156,90.00958908974677,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,1200.0,9600.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,171.93625600000004,167.25333333333336,3.925333333333333,0.5384533333333333,0.6116693333333333,367.2059676069716,70.03898002757485,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,1200.0,9600.0
LLaMA-3-70B,dense,262144,128.0,524.288,38.12829866666666,36.044799999999995,0.7918933333333333,1.0103466666666667,0.360448,475.81304418821173,90.75413593067393,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,2400.0,2400.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,171.47938133333338,167.25333333333336,1.9626666666666666,2.1538133333333334,0.30583466666666664,368.1843190725763,70.22558576060796,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,2400.0,2400.0
LLaMA-3-70B,dense,262144,128.0,524.288,37.62312533333333,36.044799999999995,0.7918933333333333,0.5051733333333334,0.360448,482.2018824212513,91.97271011757874,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,2400.0,4800.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,170.4024746666667,167.25333333333336,1.9626666666666666,1.0769066666666667,0.30583466666666664,370.51116408199886,70.66939622535683,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,2400.0,4800.0
LLaMA-3-70B,dense,262144,128.0,524.288,37.37053866666666,36.044799999999995,0.7918933333333333,0.2525866666666667,0.360448,485.4610745679734,92.59435168609112,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,2400.0,9600.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,169.86402133333337,167.25333333333336,1.9626666666666666,0.5384533333333333,0.30583466666666664,371.6856504138965,70.89341171529703,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,2400.0,9600.0
LLaMA-3-70B,dense,262144,128.0,524.288,37.59172266666666,36.044799999999995,0.39594666666666667,1.0103466666666667,0.180224,482.60469516580105,92.0495405513384,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,4800.0,2400.0
